,team,rating,round
0,Auburn,1768.0939392312923,0
1,Auburn,1759.3168083226922,1
2,Gonzaga,1716.616279783478,1
3,Auburn,1752.7785664598575,2
4,Grand Canyon,1627.3222458623752,2
5,Houston,1841.395714636451,2
6,Gonzaga,1713.0823509401014,2
7,Auburn,1745.0454276637513,3
8,Drake,1664.8943691363377,3
9,Grand Canyon,1618.4781333605142,3
10,Clemson,1578.138186336386,3
11,Houston,1836.4222707601627,3
12,Colorado,1644.3413762225798,3
13,Gonzaga,1703.5588754604423,3
14,Creighton,1686.9901691190998,3
15,FAU,1638.120445060337,4
16,Auburn,1748.1094851760013,4
17,Illinois,1744.4967380924718,4
18,Drake,1662.5793368992115,4
19,Michigan St,1573.889866461842,4
20,Grand Canyon,1619.7916596756847,4
21,Clemson,1565.1985447265852,4
22,Arizona,1670.436745134545,4
23,Houston,1832.41875992486,4
24,Vermont,1591.7852927516483,4
25,Kentucky,1688.9184462121882,4
26,Colorado,1643.0281758406938,4
27,Purdue,1819.9356840691546,4
28,Gonzaga,1700.2439831322276,4
29,Creighton,1679.3585994754387,4
30,Colorado St,1595.4783130071007,4
31,UConn,1869.585908102826,5
32,FAU,1632.1838521889986,5
33,San Diego St,1622.207781325208,5
34,Auburn,1751.672376987998,5
35,BYU,1616.2995789570753,5
36,Illinois,1748.1186512673116,5
37,Drake,1649.1045180638016,5
38,Iowa State,1775.0766624858481,5
39,Wagner,1252.783692747281,5
40,Michigan St,1581.2670335479015,5
41,Grand Canyon,1609.7741444476753,5
42,Charleston,1610.3826864198763,5
43,Clemson,1552.1430717215592,5
44,Baylor,1661.8030479834883,5
45,Nevada,1651.327263973518,5
46,Arizona,1671.002437570914,5
47,Houston,1828.1876216271314,5
48,Texas A&M,1599.650372222583,5
49,James Madison,1618.4971057081332,5
50,Vermont,1590.9953785198895,5
51,NC State,1599.3119718410421,5
52,Kentucky,1691.511576726218,5
53,Colorado,1630.6365278308929,5
54,Marquette,1715.3719166929936,5
55,Purdue,1816.1163226628396,5
56,TCU,1565.3143617170374,5
57,Gonzaga,1691.9851491938075,5
58,Kansas,1630.8681504834935,5
59,Oregon,1620.8017339067326,5
60,Creighton,1681.0762419628197,5
61,Colorado St,1581.76524367066,5
62,Tennessee,1717.243644158074,5
63,UConn,1868.77,6
64,Stetson,1320.25,6
65,FAU,1623.97,6
66,Northwestern,1561.24,6
67,San Diego St,1613.23,6
68,UAB,1577.59,6
69,Auburn,1746.99,6
70,Yale,1541.1,6
71,BYU,1606.56,6
72,Duquesne,1597.51,6
73,Illinois,1745.29,6
74,Morehead St,1432.0,6
75,Washington St,1607.88,6
76,Drake,1650.32,6
77,Iowa State,1772.6,6
78,S Dakota St,1432.7,6
79,North Carolina,1733.59,6
80,Wagner,1243.91,6
81,Mississippi St,1576.78,6
82,Michigan St,1581.4,6
83,Saint Mary's,1712.61,6
84,Grand Canyon,1606.82,6
85,Alabama,1636.17,6
86,Charleston,1609.62,6
87,Clemson,1539.54,6
88,New Mexico,1632.11,6
89,Baylor,1656.76,6
90,Colgate,1467.9,6
91,Dayton,1580.68,6
92,Nevada,1653.39,6
93,Arizona,1667.74,6
94,Long Beach St,1383.68,6
95,Houston,1826.95,6
96,Longwood,1354.67,6
97,Nebraska,1614.52,6
98,Texas A&M,1599.21,6
99,Wisconsin,1614.35,6
100,James Madison,1618.62,6
101,Duke,1656.81,6
102,Vermont,1589.07,6
103,Texas Tech,1638.02,6
104,NC State,1598.17,6
105,Kentucky,1686.93,6
106,Oakland,1476.12,6
107,Florida,1653.84,6
108,Colorado,1629.95,6
109,Marquette,1712.56,6
110,Western KY,1398.07,6
111,Purdue,1814.8,6
112,Grambling,1353.96,6
113,Utah State,1650.27,6
114,TCU,1562.85,6
115,Gonzaga,1686.75,6
116,McNeese,1506.63,6
117,Kansas,1622.41,6
118,Samford,1568.41,6
119,South Carolina,1654.38,6
120,Oregon,1619.81,6
121,Creighton,1677.01,6
122,Akron,1439.76,6
123,Texas,1590.38,6
124,Colorado St,1581.51,6
125,Tennessee,1714.74,6
126,Saint Peter's,1376.99,6
