,team,rating,round
0,Houston,1850.0576130374166,0
1,UConn,1888.2433581508687,1
2,Houston,1848.9309142183765,1
3,UConn,1883.920782139356,2
4,Alabama,1660.1079562167688,2
5,Houston,1842.5051060918909,2
6,Tennessee,1712.5906139822994,2
7,UConn,1876.8819840955032,3
8,Iowa State,1770.8232748951468,3
9,Alabama,1650.1284544498492,3
10,New Mexico,1649.4162718911273,3
11,Houston,1836.9045482874458,3
12,Florida,1672.85879439667,3
13,Gonzaga,1697.5625725660234,3
14,Tennessee,1713.0356713648023,3
15,UConn,1873.6493152314874,4
16,UAB,1587.6882268373702,4
17,Illinois,1744.4967380924718,4
18,Iowa State,1771.6018436504382,4
19,North Carolina,1740.5660917746054,4
20,Alabama,1647.5124092546055,4
21,New Mexico,1640.433817186667,4
22,Dayton,1604.9578936722312,4
23,Houston,1832.9068857529126,4
24,Vermont,1591.9559678586345,4
25,NC State,1611.905102355072,4
26,Florida,1674.645224243147,4
27,Utah State,1662.0709995509994,4
28,Gonzaga,1698.6104007546678,4
29,Creighton,1680.5675804732562,4
30,Tennessee,1713.9948271741007,4
31,UConn,1869.585908102826,5
32,FAU,1632.1838521889986,5
33,UAB,1578.6122186747918,5
34,Yale,1546.417623012002,5
35,BYU,1616.2995789570753,5
36,Illinois,1748.1186512673116,5
37,Drake,1649.1045180638016,5
38,Iowa State,1775.0766624858481,5
39,North Carolina,1734.716307252719,5
40,Michigan St,1581.2670335479015,5
41,Saint Mary's,1719.6558555523245,5
42,Alabama,1645.4073135801236,5
43,New Mexico,1629.5069282784407,5
44,Baylor,1661.8030479834883,5
45,Dayton,1592.7427360264821,5
46,Arizona,1671.002437570914,5
47,Houston,1828.1876216271314,5
48,Nebraska,1624.079627777417,5
49,Wisconsin,1624.4728942918666,5
50,Vermont,1590.9953785198895,5
51,NC State,1599.3119718410421,5
52,Kentucky,1691.511576726218,5
53,Florida,1663.153472169107,5
54,Marquette,1715.3719166929936,5
55,Purdue,1816.1163226628396,5
56,Utah State,1657.8056382829625,5
57,Gonzaga,1691.9851491938075,5
58,Samford,1569.9518495165066,5
59,South Carolina,1663.3882660932675,5
60,Creighton,1681.0762419628197,5
61,Texas,1600.12475632934,5
62,Tennessee,1717.243644158074,5
63,UConn,1868.77,6
64,Stetson,1320.25,6
65,FAU,1623.97,6
66,Northwestern,1561.24,6
67,San Diego St,1613.23,6
68,UAB,1577.59,6
69,Auburn,1746.99,6
70,Yale,1541.1,6
71,BYU,1606.56,6
72,Duquesne,1597.51,6
73,Illinois,1745.29,6
74,Morehead St,1432.0,6
75,Washington St,1607.88,6
76,Drake,1650.32,6
77,Iowa State,1772.6,6
78,S Dakota St,1432.7,6
79,North Carolina,1733.59,6
80,Wagner,1243.91,6
81,Mississippi St,1576.78,6
82,Michigan St,1581.4,6
83,Saint Mary's,1712.61,6
84,Grand Canyon,1606.82,6
85,Alabama,1636.17,6
86,Charleston,1609.62,6
87,Clemson,1539.54,6
88,New Mexico,1632.11,6
89,Baylor,1656.76,6
90,Colgate,1467.9,6
91,Dayton,1580.68,6
92,Nevada,1653.39,6
93,Arizona,1667.74,6
94,Long Beach St,1383.68,6
95,Houston,1826.95,6
96,Longwood,1354.67,6
97,Nebraska,1614.52,6
98,Texas A&M,1599.21,6
99,Wisconsin,1614.35,6
100,James Madison,1618.62,6
101,Duke,1656.81,6
102,Vermont,1589.07,6
103,Texas Tech,1638.02,6
104,NC State,1598.17,6
105,Kentucky,1686.93,6
106,Oakland,1476.12,6
107,Florida,1653.84,6
108,Colorado,1629.95,6
109,Marquette,1712.56,6
110,Western KY,1398.07,6
111,Purdue,1814.8,6
112,Grambling,1353.96,6
113,Utah State,1650.27,6
114,TCU,1562.85,6
115,Gonzaga,1686.75,6
116,McNeese,1506.63,6
117,Kansas,1622.41,6
118,Samford,1568.41,6
119,South Carolina,1654.38,6
120,Oregon,1619.81,6
121,Creighton,1677.01,6
122,Akron,1439.76,6
123,Texas,1590.38,6
124,Colorado St,1581.51,6
125,Tennessee,1714.74,6
126,Saint Peter's,1376.99,6
